"","Human","CLUMP","FEATURE","MAXIMA","MEDIAL","SHAPE","SHAPE.angularity","SHAPE.angularity.amplitude","SHAPE.angularity.count","SHAPE.angularity.max","SHAPE.angularity.mean","SHAPE.angularity.median","SHAPE.angularity.mid","SHAPE.angularity.min","SHAPE.angularity.stdev","SHAPE.angularity.variation","SHAPE.area","SHAPE.aspectRatio","SHAPE.circularity","SHAPE.curvature","SHAPE.feret","SHAPE.feret.max","SHAPE.feret.min","SHAPE.length","SHAPE.morphology","SHAPE.orientation","SHAPE.perimeter","SHAPE.pole","SHAPE.roundness","SHAPE.sinuosity","SHAPE.solidity","SHAPE.width","SHAPE.width.amplitude","SHAPE.width.count","SHAPE.width.max","SHAPE.width.mean","SHAPE.width.median","SHAPE.width.mid","SHAPE.width.min","SHAPE.width.stdev","SHAPE.width.variation","EXPERIMENT"
"1","0",1,0,0,1,1,0.9106414,0.85066205,7,1.2811477,0.9106414,0.9427709,1.2811477,0.4304857,0.31850705,0.34976122,0.93963516,1.1836147,0.7656686,1.7842239,1.3287852,1.3287852,1.1226501,1.6151099,1,40.527187,3.9270294,2,0.67757875,1.4408675,0.9098052,0.73250175,0.46226647,15,0.94083905,0.73250175,0.72939694,0.882501,0.47857258,0.17065266,0.23297235,"A1"
"2","0",1,0,1,1,1,0.053652562,0.29225174,25,0.16090237,0.053652562,0.039752252,0.083691314,0,0.051771756,0.9649447,1.5738482,4.00003,0.49306908,0.051035628,2.9677565,2.9677565,0.7419336,2.917305,1,119.41829,6.3333354,2,0.22751838,1.0020862,0.9814796,0.58268195,0.2751281,33,0.6907195,0.58268195,0.5899745,0.68842405,0.4155914,0.07727842,0.13262539,"A1"
"3","0",1,0,1,1,1,0.03983329,0.21980359,53,0.15300399,0.03983329,0.025447104,0,0,0.043781463,1.0991175,3.3648808,5.912016,0.3465774,0.058725473,5.1488853,5.1488853,0.8709187,5.161756,1,3.9206047,11.0456085,2,0.16160448,1.0083879,0.8771194,0.67494005,0.2958026,63,0.80422205,0.67494005,0.7063718,0.71290004,0.50841945,0.08154342,0.1208158,"A1"
"4","0",1,0,1,1,1,0.03846526,0.14443122,28,0.074771956,0.03846526,0.042960096,0.062305477,0,0.025638577,0.6665385,1.8545825,4.510397,0.47331372,0.027109558,3.2179399,3.2179399,0.71344936,3.1763701,1,144.74579,7.017032,2,0.22803445,1.0014985,0.97554284,0.6143765,0.16347295,36,0.65782946,0.6143765,0.63394374,0.6416179,0.4943565,0.04334686,0.07055423,"A1"
"5","0",1,0,2,1,1,0.33735362,0.46214697,7,0.5177021,0.33735362,0.40075192,0.40075192,0.05555515,0.17895581,0.53046954,1.3342586,1.6534996,0.5810834,0.5068925,1.9336666,1.9336666,1.1694388,1.8880522,1,105.43799,5.371625,2,0.45434627,1.0400344,0.7926756,0.67992675,0.39089692,17,0.92078936,0.67992675,0.6514434,0.76964355,0.52989244,0.12090231,0.17781666,"A1"
"6","0",1,0,1,1,1,0.051459096,0.19450477,19,0.11436689,0.051459096,0.05409857,0.06585508,0.010400566,0.028634537,0.5564524,1.8554143,2.89726,0.5716017,0.014906269,2.7816882,2.7816882,0.96011,2.771971,1,129.78539,6.386731,2,0.30530512,1.0064045,0.92857796,0.72310066,0.4462509,29,0.9228688,0.72310066,0.7776552,0.7776552,0.4766179,0.17351906,0.23996529,"A1"
"7","0",1,0,0,1,1,0.32885733,0.36501047,4,0.5095039,0.32885733,0.33071598,0.2644808,0.14449343,0.15853952,0.48209208,0.9485609,1.932297,0.745737,0.6751008,1.5870339,1.5870339,0.8213198,1.6278982,1,137.81204,3.9980175,2,0.4795158,1.0584761,0.97376096,0.6684724,0.3478565,14,0.7870804,0.6684724,0.6834984,0.71309674,0.43922392,0.0928413,0.13888575,"A1"
"8","0",1,0,0,1,1,0.03038953,0.10023719,9,0.061674114,0.03038953,0.035237405,0.035237405,0,0.01875393,0.6171182,0.7362504,2.595402,0.690439,0.042863067,1.5870339,1.5870339,0.61147904,1.5740025,1,136.93019,3.6606233,2,0.37218875,1.000669,0.99435616,0.5200128,0.08700815,15,0.54184467,0.5200128,0.5233498,0.537344,0.45483652,0.023126991,0.044473886,"A1"
"9","0",1,0,0,1,1,0.16551086,0.40908876,8,0.30965322,0.16551086,0.15099601,0.13436021,0,0.10686815,0.6456866,1.0501924,1.961284,0.74227816,0.2358322,1.7666583,1.7666583,0.90076613,1.7392826,1,97.951866,4.216538,2,0.42842406,1.0080317,0.94723165,0.68824035,0.27238715,16,0.81360686,0.68824035,0.70450586,0.77673066,0.5412197,0.083879,0.12187457,"A1"
"10","0",1,0,0,1,1,0.0350745,0.16334808,24,0.09279158,0.0350745,0.023847625,0.05385301,0.010494133,0.023546567,0.6713301,1.2262319,4.489162,0.45722616,0.047783736,2.6575704,2.6575704,0.591997,2.653234,1,49.515083,5.805314,2,0.22106153,1.0012764,0.96599334,0.48764545,0.1142143,30,0.5224897,0.48764545,0.48598644,0.51249886,0.40827543,0.025450952,0.052191507,"A1"
"11","9",1,0,2,1,1,0.10500144,0.5287288,83,0.42979813,0.10500144,0.06715186,0.16361,0,0.10340252,0.9847724,4.43154,2.7104602,0.24610816,0.2947839,6.061907,6.061907,2.2364862,7.152156,1,16.384232,15.042474,2,0.15354876,1.2167615,0.47169682,0.63699746,0.3549184,91,0.7965465,0.63699746,0.62852687,0.7660387,0.44162813,0.095407575,0.14977701,"A1"
"12","9",1,1,3,1,1,0.07290678,0.49066392,107,0.3063772,0.07290678,0.046202045,0.16953373,0,0.06926331,0.9500257,5.555045,4.6400695,0.19989453,0.103563346,8.564649,8.564649,1.845802,8.931243,1,156.13734,18.687374,2,0.096422546,1.051627,0.509019,0.6326875,0.29305595,115,0.8104832,0.6326875,0.59471875,0.56249064,0.51742727,0.09105137,0.14391206,"A1"
"13","0",1,0,0,1,1,0.09660363,0.4563379,27,0.3516875,0.09660363,0.06890254,0,0,0.090765886,0.9395701,1.3464859,4.360307,0.41574857,0.16999952,2.8608391,2.8608391,0.6561095,2.8154922,1,131.6161,6.3795557,2,0.20947154,1.0264074,0.8657137,0.4875396,0.1343072,33,0.55558646,0.4875396,0.4886362,0.5149876,0.42127925,0.044193655,0.09064629,"A1"
"14","0",1,0,2,1,1,0.082200654,0.321588,42,0.18952316,0.082200654,0.08736491,0.11706861,0,0.04921949,0.59877247,2.6536984,4.4422574,0.40040645,0.09144952,4.238902,4.238902,0.95422256,4.232687,1,143.22392,9.125994,2,0.18804203,1.009151,0.8729913,0.66023654,0.29381472,50,0.80915105,0.66023654,0.6700173,0.73413897,0.51533633,0.09097686,0.13779433,"A1"
"15","9",1,0,2,1,1,0.05116147,0.39896968,124,0.27442878,0.05116147,0.04160179,0.012415119,0,0.05496169,1.0742788,6.0263433,8.531413,0.172713,0.02361769,9.983591,9.983591,1.1702154,10.055658,1,130.3191,20.939648,2,0.07698223,1.0095661,0.6632263,0.6058313,0.30710006,132,0.8194988,0.6058313,0.56796014,0.5800861,0.5123987,0.090310365,0.14906849,"A1"
"16","9",1,1,2,1,1,0.057169575,0.49870792,104,0.26027694,0.057169575,0.037581913,0.052485496,0,0.061102,1.0687853,6.151628,8.009639,0.21839997,0.010500605,8.87435,8.87435,1.1079588,8.900515,1,88.43431,18.813677,2,0.09945511,1.0068551,0.73222905,0.7023796,0.57292855,114,1.0640228,0.7023796,0.6734343,0.49137276,0.49109423,0.13500533,0.19221134,"A1"
"17","9",1,0,2,1,1,0.061048213,0.3333363,108,0.20047861,0.061048213,0.04694513,0.013671863,0,0.05568064,0.9120765,5.195014,9.712229,0.19021656,0.010255691,8.84827,8.84827,0.9110443,8.891529,1,11.942726,18.525679,2,0.084485084,1.0151457,0.77032197,0.5938573,0.29798716,116,0.7970749,0.5938573,0.5842683,0.5676022,0.49908775,0.061965387,0.1043439,"A1"
"18","9",1,1,2,1,1,0.06727562,0.45953062,98,0.27504706,0.06727562,0.055748682,0.0360038,0,0.06317004,0.93897367,4.483147,6.700756,0.19053182,0.07513403,8.08397,8.08397,1.2064266,8.2022705,1,10.088446,17.195415,2,0.08734614,1.0223029,0.5964333,0.5550206,0.31219572,106,0.7492417,0.5550206,0.51426995,0.47634688,0.437046,0.09089629,0.16377102,"A1"
"19","9",1,0,2,1,1,0.036994364,0.2123324,126,0.13084824,0.036994364,0.029703557,0,0,0.032457754,0.87737024,6.7145777,8.0982275,0.18110916,0.030066231,10.245442,10.245442,1.2651464,10.279988,1,74.76696,21.584602,2,0.08144555,1.0101095,0.66829807,0.660695,0.6624406,134,1.1738162,0.660695,0.6004257,0.5651049,0.5113756,0.16424775,0.24859844,"A1"
"20","9",1,0,3,1,1,0.062847555,0.41271415,66,0.2480765,0.062847555,0.03674819,0.099982314,0,0.065100975,1.0358553,3.726408,5.8393397,0.2917049,0.007603871,5.9144773,5.9144773,1.0128675,5.9453115,1,44.41597,12.670048,2,0.13563375,1.0107374,0.8130444,0.64113444,0.22887492,74,0.7553328,0.64113444,0.6555687,0.6580914,0.5264579,0.060367256,0.094156936,"A1"
"21","0",1,0,2,1,1,0.24112259,0.73554146,15,0.46484575,0.24112259,0.24818076,0.43158716,0,0.14987795,0.62158406,1.3713156,2.0796635,0.66443837,0.4039495,2.119451,2.119451,1.0191318,2.159673,1,39.83566,5.0926785,2,0.38868764,1.0321949,0.9058748,0.69725484,0.44189274,23,0.87717855,0.69725484,0.6457385,0.8010304,0.4352858,0.12424617,0.17819335,"A1"
"22","9",1,0,2,1,1,0.060294107,0.61300063,145,0.45302817,0.060294107,0.048417784,0,0,0.06952246,1.1530557,7.4781327,6.554519,0.16048777,0.04823955,11.385348,11.385348,1.7370228,11.562346,1,8.018611,24.19806,2,0.07345319,1.0192112,0.51221627,0.6578558,0.8369032,153,1.3062156,0.6578558,0.5765413,0.5455532,0.46931246,0.22340299,0.33959264,"A1"
"23","9",1,1,2,1,1,0.08845981,0.5237428,116,0.34476495,0.08845981,0.05810747,0.22307967,0,0.088299304,0.9981855,6.26748,2.652768,0.19610529,0.23578349,8.013318,8.013318,3.0207386,9.550728,1,130.89989,20.040417,2,0.124273434,1.2229247,0.3869662,0.66651607,0.5158884,124,1.0129797,0.66651607,0.64117,0.55756086,0.49709135,0.13469549,0.20208886,"A1"
"24","0",1,0,1,1,1,0.12528059,0.12974419,9,0.16958529,0.12528059,0.13681191,0.14644861,0.0398411,0.03811285,0.3042199,1.0584284,2.3154984,0.744434,0.36906028,1.8471323,1.8471323,0.7977256,1.8144614,1,69.96425,4.226906,2,0.39498043,1.0194933,0.99816346,0.67655367,0.25746077,17,0.77116567,0.67655367,0.6814078,0.73740584,0.5137049,0.079448506,0.1174312,"A1"
"25","9",1,1,2,1,1,0.055351343,0.276736,108,0.1875512,0.055351343,0.04416348,0.031464815,0,0.04401981,0.7952799,5.281431,5.9670167,0.18964544,0.08842382,8.724446,8.724446,1.462112,8.921187,1,178.32513,18.707232,2,0.08834582,1.0364332,0.5449978,0.5992294,0.42662016,116,0.8698109,0.5992294,0.58071357,0.47724497,0.44319072,0.11021272,0.18392408,"A1"
"26","0",1,0,0,1,1,0.13384408,0.6560255,17,0.37614727,0.13384408,0.12601732,0.01883061,0,0.11614842,0.86778903,1.2792716,2.8114405,0.592221,0.04150685,2.3284428,2.3284428,0.8282028,2.3693967,1,19.667822,5.21008,2,0.3004289,1.0363909,0.94827896,0.61043274,0.35885257,25,0.76050526,0.61043274,0.6112189,0.6898931,0.4016527,0.09860923,0.16153988,"A1"
"27","0",1,0,1,1,1,0.13664174,0.108270034,10,0.19674341,0.13664174,0.13480422,0.13925788,0.08847338,0.039933994,0.29225326,1.1904252,1.9479424,0.6887201,0.42614347,1.940369,1.940369,0.99611217,1.9050492,1,158.70982,4.6605225,2,0.40257198,1.0269208,0.9231566,0.69970423,0.5120207,18,0.97410595,0.69970423,0.6708758,0.6583766,0.46208525,0.15399311,0.22008318,"A1"
"28","0",1,1,1,1,1,0.20036352,0.8322203,26,0.5713957,0.20036352,0.15590574,0.04139722,0.0106157,0.16893351,0.84313506,2.8213854,3.2535927,0.47200856,0.102826096,3.6752384,3.6752384,1.1295938,3.5659437,1,160.8341,8.666848,2,0.26595092,1.0216414,0.8225047,0.7991712,0.39698213,38,0.9758898,0.7991712,0.80106616,0.5953882,0.57890767,0.1175805,0.14712806,"A1"
"29","0",1,0,2,1,1,0.12669185,0.19182381,6,0.18031801,0.12669185,0.15494299,0.14698286,0.0115058,0.06693264,0.52831054,1.8668554,1.633938,0.7690761,0.13343652,2.119451,2.119451,1.297143,1.7662699,1,178.65315,5.5230074,2,0.52914417,1.0049223,0.9431756,1.0736784,0.5120086,20,1.3083942,1.0736784,1.0696591,1.1234533,0.7963856,0.15836552,0.14749809,"A1"
