,mean_test_score,std_test_score,mean_score_time,std_score_time,params,model
0,0.827227172583704,0.025316976989023417,0.10574650764465332,0.012414923526846124,"{'labelspreading__alpha': 0.09826925830043007, 'labelspreading__gamma': 21.72410341048901, 'labelspreading__kernel': 'knn', 'labelspreading__max_iter': 30, 'labelspreading__n_neighbors': 22, 'labelspreading__tol': 0.001}",ls
1,0.8269740525993173,0.027887731647364963,0.09512467384338379,0.0053891000080076865,"{'labelspreading__alpha': 0.10332441801694271, 'labelspreading__gamma': 18.339438821833767, 'labelspreading__kernel': 'knn', 'labelspreading__max_iter': 30, 'labelspreading__n_neighbors': 14, 'labelspreading__tol': 0.001}",ls
2,0.8269740525993173,0.027887731647364963,0.10539031028747559,0.010959839561509924,"{'labelspreading__alpha': 0.16578919910757497, 'labelspreading__gamma': 22.866938544291486, 'labelspreading__kernel': 'knn', 'labelspreading__max_iter': 30, 'labelspreading__n_neighbors': 14, 'labelspreading__tol': 0.001}",ls
3,0.8265042670859476,0.02475593970164745,0.12003035545349121,0.011782262884850377,"{'labelspreading__alpha': 0.24718440200348957, 'labelspreading__gamma': 18.839999022718597, 'labelspreading__kernel': 'knn', 'labelspreading__max_iter': 30, 'labelspreading__n_neighbors': 16, 'labelspreading__tol': 0.001}",ls
4,0.8262621390935333,0.025565087012400622,0.09724178314208984,0.007533553180395822,"{'labelspreading__alpha': 0.18894322018532894, 'labelspreading__gamma': 21.384570386139806, 'labelspreading__kernel': 'knn', 'labelspreading__max_iter': 30, 'labelspreading__n_neighbors': 18, 'labelspreading__tol': 0.001}",ls
5,0.8260211557503607,0.025656154060976693,0.12180461883544921,0.01232061022660775,"{'labelspreading__alpha': 0.0742915646130949, 'labelspreading__gamma': 18.82283629324737, 'labelspreading__kernel': 'knn', 'labelspreading__max_iter': 30, 'labelspreading__n_neighbors': 27, 'labelspreading__tol': 0.001}",ls
6,0.8257853717974715,0.025253294160954412,0.13003802299499512,0.00819528776700796,"{'labelspreading__alpha': 0.16480100989152344, 'labelspreading__gamma': 23.538200746024113, 'labelspreading__kernel': 'knn', 'labelspreading__max_iter': 30, 'labelspreading__n_neighbors': 39, 'labelspreading__tol': 0.001}",ls
7,0.8257836506863223,0.025825604634252337,0.12460217475891114,0.0056281338312779506,"{'labelspreading__alpha': 0.22423661130611447, 'labelspreading__gamma': 6.285342434019199, 'labelspreading__kernel': 'knn', 'labelspreading__max_iter': 30, 'labelspreading__n_neighbors': 22, 'labelspreading__tol': 0.001}",ls
8,0.8255513562456835,0.023971140629985455,0.11815228462219238,0.005185929304865201,"{'labelspreading__alpha': 0.10078783406069665, 'labelspreading__gamma': 10.645992555548073, 'labelspreading__kernel': 'knn', 'labelspreading__max_iter': 30, 'labelspreading__n_neighbors': 37, 'labelspreading__tol': 0.001}",ls
9,0.8255433078445075,0.024958141687255575,0.09534029960632324,0.009557598778966923,"{'labelspreading__alpha': 0.19589241853140785, 'labelspreading__gamma': 12.633312091046268, 'labelspreading__kernel': 'knn', 'labelspreading__max_iter': 30, 'labelspreading__n_neighbors': 15, 'labelspreading__tol': 0.001}",ls
